px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	3.04035	0.0287681	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.45053	0.251435	3.03513	0.0294855	3.13791e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0.0112981
8.47311	0.248033	2.5352	0.0171377	-0.00110898	8.56759	0.241943	8.45	0.25	0	0	1.06811
8.5032	0.252744	2.45545	0.0319915	0.000610037	8.45582	0.253997	8.45	0.25	0	0	0.198701
8.36154	0.251761	0.20877	0.0428618	0.00343043	8.42544	0.254042	8.35	0.25	-1.81979	0	11.7718
8.32533	0.251229	0.118397	0.0437522	0.00359183	8.23962	0.24916	8.25	0.25	-1.81978	0	0.498356
8.00268	0.231405	-2.76296	0.0197229	-0.00027031	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	44.903
7.87512	0.213627	-2.77941	0.0411938	0.0510915	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.237584
7.70337	0.200453	-2.88586	0.0597633	0.0705669	7.61269	0.155818	7.7	0.15	-2.99982	0	1.6377
7.57427	0.175288	-2.90073	0.122058	0.11963	7.54016	0.159641	7.55	0.15	-2.99982	0	0.0901451
7.47575	0.0979371	-2.76057	0.310889	0.287276	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	1.69959
7.34303	0.0421098	-2.76264	0.349595	0.306845	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.00630607
7.18306	0.0393305	-2.81628	0.248825	0.0935073	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.584908
7.04124	-0.0240904	-2.82467	0.290718	0.129654	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.0804256
6.94605	-0.159593	-2.71167	0.526369	0.776687	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	6.72797
6.82753	-0.246095	-2.71116	0.583885	0.800451	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.0403239
6.71816	-0.330487	-2.7171	0.639545	0.837353	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.0441357
6.6186	-0.428578	-2.72266	0.699613	0.860972	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.108639
6.576	-0.602436	-2.73899	1.01879	1.61818	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.87226
6.5176	-0.704717	-2.71681	1.09142	1.61797	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.264096
6.47249	-0.860847	-2.73841	1.25686	1.8045	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.50335
6.4379	-1.01477	-2.74399	1.3629	1.80806	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.101338
6.32277	-1.10458	-2.65807	1.19512	1.22905	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	10.8832
6.27053	-1.24329	-2.66157	1.26055	1.22454	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.015641
6.3609	-1.43836	-2.7273	1.61114	1.7711	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	21.0202
6.37141	-1.59821	-2.73965	1.70772	1.76368	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0.183914
6.30238	-1.70563	-2.65128	1.60123	1.41314	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	16.6001
6.29697	-1.85547	-2.67301	1.66134	1.39145	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0.624505
6.3446	-2.00537	-2.71289	1.79121	1.48877	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	2.7777
6.37046	-2.15149	-2.72937	1.85809	1.47424	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0.428725
6.35848	-2.29292	-2.68549	1.84534	1.32761	6.32593	-2.40018	6.35	-2.4	0	-2.72613	7.59669
6.38923	-2.45197	-2.70388	1.90507	1.30772	6.34927	-2.55175	6.35	-2.55	0	-2.72611	0.622033
6.4364	-2.60004	-2.71235	1.96984	1.29701	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0.33362
6.48173	-2.7533	-2.72793	2.0251	1.27651	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0.571152
6.49736	-2.87988	-2.69201	2.02637	1.18812	6.46536	-3.00452	6.45	-3	0	-2.99754	5.94273
6.53042	-3.02618	-2.71137	2.05867	1.15662	6.44119	-3.14955	6.45	-3.15	0	-2.99754	1.29818
6.58965	-3.16888	-2.7179	2.10689	1.13789	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.661107
6.63724	-3.32549	-2.73614	2.13903	1.10455	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	1.46407
6.72219	-3.46375	-2.75904	2.20256	1.11172	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	1.2383
6.79499	-3.61345	-2.77709	2.2409	1.08625	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	1.16056
6.86769	-3.74203	-2.76184	2.27274	1.05108	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	2.29799
6.93542	-3.89539	-2.77946	2.29562	1.01426	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	1.83335
7.00824	-4.02031	-2.76046	2.32063	0.977812	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	2.77817
7.06736	-4.17697	-2.77407	2.32809	0.930886	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	2.5567
7.12829	-4.29348	-2.72237	2.33525	0.875812	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	11.6395
7.18694	-4.4389	-2.72614	2.34052	0.833761	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	2.00222
7.26469	-4.55486	-2.70402	2.3607	0.804236	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	2.62862
7.31567	-4.71037	-2.70854	2.35124	0.751416	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	3.0534
7.42044	-4.83537	-2.73421	2.38612	0.748042	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	2.52018
7.47347	-4.99347	-2.73784	2.37076	0.692481	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	3.26737
7.55531	-5.11025	-2.72201	2.38542	0.667663	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.97843
7.60737	-5.2739	-2.7266	2.36269	0.608901	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	3.48359
7.70029	-5.39242	-2.7223	2.3797	0.591274	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.996763
